"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",27.806273,
"AUS","GDPHRWKD","TOT","USD","A","1971",28.501302,
"AUS","GDPHRWKD","TOT","USD","A","1972",29.12851,
"AUS","GDPHRWKD","TOT","USD","A","1973",29.728664,
"AUS","GDPHRWKD","TOT","USD","A","1974",29.255444,
"AUS","GDPHRWKD","TOT","USD","A","1975",30.338204,
"AUS","GDPHRWKD","TOT","USD","A","1976",30.844664,
"AUS","GDPHRWKD","TOT","USD","A","1977",30.809827,
"AUS","GDPHRWKD","TOT","USD","A","1978",32.109712,
"AUS","GDPHRWKD","TOT","USD","A","1979",32.265542,
"AUS","GDPHRWKD","TOT","USD","A","1980",32.611506,
"AUS","GDPHRWKD","TOT","USD","A","1981",33.575162,
"AUS","GDPHRWKD","TOT","USD","A","1982",33.995053,
"AUS","GDPHRWKD","TOT","USD","A","1983",34.846461,
"AUS","GDPHRWKD","TOT","USD","A","1984",35.608668,
"AUS","GDPHRWKD","TOT","USD","A","1985",34.360732,
"AUS","GDPHRWKD","TOT","USD","A","1986",34.381719,
"AUS","GDPHRWKD","TOT","USD","A","1987",35.113689,
"AUS","GDPHRWKD","TOT","USD","A","1988",35.00614,
"AUS","GDPHRWKD","TOT","USD","A","1989",35.119937,
"AUS","GDPHRWKD","TOT","USD","A","1990",35.67293,
"AUS","GDPHRWKD","TOT","USD","A","1991",36.487372,
"AUS","GDPHRWKD","TOT","USD","A","1992",37.603655,
"AUS","GDPHRWKD","TOT","USD","A","1993",37.685224,
"AUS","GDPHRWKD","TOT","USD","A","1994",37.750752,
"AUS","GDPHRWKD","TOT","USD","A","1995",38.891484,
"AUS","GDPHRWKD","TOT","USD","A","1996",40.260087,
"AUS","GDPHRWKD","TOT","USD","A","1997",41.609016,
"AUS","GDPHRWKD","TOT","USD","A","1998",42.97412,
"AUS","GDPHRWKD","TOT","USD","A","1999",43.353649,
"AUS","GDPHRWKD","TOT","USD","A","2000",43.797643,
"AUS","GDPHRWKD","TOT","USD","A","2001",45.325556,
"AUS","GDPHRWKD","TOT","USD","A","2002",45.956364,
"AUS","GDPHRWKD","TOT","USD","A","2003",46.946063,
"AUS","GDPHRWKD","TOT","USD","A","2004",46.811465,
"AUS","GDPHRWKD","TOT","USD","A","2005",47.00386,
"AUS","GDPHRWKD","TOT","USD","A","2006",47.275977,
"AUS","GDPHRWKD","TOT","USD","A","2007",47.847599,
"AUS","GDPHRWKD","TOT","USD","A","2008",49.529634,
"AUS","GDPHRWKD","TOT","USD","A","2009",49.050804,
"AUS","GDPHRWKD","TOT","USD","A","2010",49.859388,
"AUS","GDPHRWKD","TOT","USD","A","2011",50.437676,
"AUS","GDPHRWKD","TOT","USD","A","2012",51.661172,
"AUS","GDPHRWKD","TOT","USD","A","2013",52.543228,
"AUS","GDPHRWKD","TOT","USD","A","2014",52.860035,
"AUS","GDPHRWKD","TOT","USD","A","2015",54.242023,
"AUS","GDPHRWKD","TOT","USD","A","2016",54.119324,
"AUS","GDPHRWKD","TOT","USD","A","2017",54.711338,
"AUS","GDPHRWKD","TOT","USD","A","2018",54.664421,"E"
"AUT","GDPHRWKD","TOT","USD","A","1995",50.965324,
"AUT","GDPHRWKD","TOT","USD","A","1996",51.007153,
"AUT","GDPHRWKD","TOT","USD","A","1997",51.453334,
"AUT","GDPHRWKD","TOT","USD","A","1998",53.391087,
"AUT","GDPHRWKD","TOT","USD","A","1999",54.366306,
"AUT","GDPHRWKD","TOT","USD","A","2000",55.640846,
"AUT","GDPHRWKD","TOT","USD","A","2001",56.345582,
"AUT","GDPHRWKD","TOT","USD","A","2002",57.43412,
"AUT","GDPHRWKD","TOT","USD","A","2003",57.876992,
"AUT","GDPHRWKD","TOT","USD","A","2004",59.019162,
"AUT","GDPHRWKD","TOT","USD","A","2005",60.426451,
"AUT","GDPHRWKD","TOT","USD","A","2006",62.043631,
"AUT","GDPHRWKD","TOT","USD","A","2007",63.593586,
"AUT","GDPHRWKD","TOT","USD","A","2008",63.592955,
"AUT","GDPHRWKD","TOT","USD","A","2009",63.137242,
"AUT","GDPHRWKD","TOT","USD","A","2010",64.102223,
"AUT","GDPHRWKD","TOT","USD","A","2011",64.75743,
"AUT","GDPHRWKD","TOT","USD","A","2012",65.449959,
"AUT","GDPHRWKD","TOT","USD","A","2013",65.881693,
"AUT","GDPHRWKD","TOT","USD","A","2014",66.08261,
"AUT","GDPHRWKD","TOT","USD","A","2015",67.061414,
"AUT","GDPHRWKD","TOT","USD","A","2016",67.041957,
"AUT","GDPHRWKD","TOT","USD","A","2017",67.62857,
"AUT","GDPHRWKD","TOT","USD","A","2018",68.094665,
"BEL","GDPHRWKD","TOT","USD","A","1970",27.511748,
"BEL","GDPHRWKD","TOT","USD","A","1971",28.500052,
"BEL","GDPHRWKD","TOT","USD","A","1972",30.48443,
"BEL","GDPHRWKD","TOT","USD","A","1973",32.548931,
"BEL","GDPHRWKD","TOT","USD","A","1974",33.942234,
"BEL","GDPHRWKD","TOT","USD","A","1975",34.158985,
"BEL","GDPHRWKD","TOT","USD","A","1976",36.226924,
"BEL","GDPHRWKD","TOT","USD","A","1977",37.135054,
"BEL","GDPHRWKD","TOT","USD","A","1978",38.526952,
"BEL","GDPHRWKD","TOT","USD","A","1979",39.44317,
"BEL","GDPHRWKD","TOT","USD","A","1980",41.749598,
"BEL","GDPHRWKD","TOT","USD","A","1981",42.997068,
"BEL","GDPHRWKD","TOT","USD","A","1982",44.199601,
"BEL","GDPHRWKD","TOT","USD","A","1983",44.760271,
"BEL","GDPHRWKD","TOT","USD","A","1984",45.236111,
"BEL","GDPHRWKD","TOT","USD","A","1985",45.598033,
"BEL","GDPHRWKD","TOT","USD","A","1986",46.682735,
"BEL","GDPHRWKD","TOT","USD","A","1987",47.845102,
"BEL","GDPHRWKD","TOT","USD","A","1988",49.505617,
"BEL","GDPHRWKD","TOT","USD","A","1989",50.722481,
"BEL","GDPHRWKD","TOT","USD","A","1990",51.312012,
"BEL","GDPHRWKD","TOT","USD","A","1991",53.274829,
"BEL","GDPHRWKD","TOT","USD","A","1992",54.938757,
"BEL","GDPHRWKD","TOT","USD","A","1993",56.313309,
"BEL","GDPHRWKD","TOT","USD","A","1994",58.378148,
"BEL","GDPHRWKD","TOT","USD","A","1995",58.376672,
"BEL","GDPHRWKD","TOT","USD","A","1996",59.979701,
"BEL","GDPHRWKD","TOT","USD","A","1997",61.321235,
"BEL","GDPHRWKD","TOT","USD","A","1998",61.018262,
"BEL","GDPHRWKD","TOT","USD","A","1999",62.346577,
"BEL","GDPHRWKD","TOT","USD","A","2000",62.896257,
"BEL","GDPHRWKD","TOT","USD","A","2001",62.984107,
"BEL","GDPHRWKD","TOT","USD","A","2002",64.410401,
"BEL","GDPHRWKD","TOT","USD","A","2003",65.335474,
"BEL","GDPHRWKD","TOT","USD","A","2004",67.216327,
"BEL","GDPHRWKD","TOT","USD","A","2005",68.125222,
"BEL","GDPHRWKD","TOT","USD","A","2006",68.790047,
"BEL","GDPHRWKD","TOT","USD","A","2007",69.965424,
"BEL","GDPHRWKD","TOT","USD","A","2008",69.324853,
"BEL","GDPHRWKD","TOT","USD","A","2009",68.997927,
"BEL","GDPHRWKD","TOT","USD","A","2010",70.625579,
"BEL","GDPHRWKD","TOT","USD","A","2011",70.225746,
"BEL","GDPHRWKD","TOT","USD","A","2012",70.426207,
"BEL","GDPHRWKD","TOT","USD","A","2013",71.068249,
"BEL","GDPHRWKD","TOT","USD","A","2014",72.006212,
"BEL","GDPHRWKD","TOT","USD","A","2015",73.203335,
"BEL","GDPHRWKD","TOT","USD","A","2016",73.383942,
"BEL","GDPHRWKD","TOT","USD","A","2017",73.70121,
"BEL","GDPHRWKD","TOT","USD","A","2018",64.744489,
"CAN","GDPHRWKD","TOT","USD","A","1970",28.630789,
"CAN","GDPHRWKD","TOT","USD","A","1971",29.335255,
"CAN","GDPHRWKD","TOT","USD","A","1972",30.351167,
"CAN","GDPHRWKD","TOT","USD","A","1973",31.074453,
"CAN","GDPHRWKD","TOT","USD","A","1974",31.072893,
"CAN","GDPHRWKD","TOT","USD","A","1975",31.428737,
"CAN","GDPHRWKD","TOT","USD","A","1976",33.28154,
"CAN","GDPHRWKD","TOT","USD","A","1977",34.205065,
"CAN","GDPHRWKD","TOT","USD","A","1978",34.457121,
"CAN","GDPHRWKD","TOT","USD","A","1979",34.117966,
"CAN","GDPHRWKD","TOT","USD","A","1980",34.017523,
"CAN","GDPHRWKD","TOT","USD","A","1981",34.485007,
"CAN","GDPHRWKD","TOT","USD","A","1982",34.96091,
"CAN","GDPHRWKD","TOT","USD","A","1983",35.773729,
"CAN","GDPHRWKD","TOT","USD","A","1984",36.745999,
"CAN","GDPHRWKD","TOT","USD","A","1985",37.075779,
"CAN","GDPHRWKD","TOT","USD","A","1986",36.759238,
"CAN","GDPHRWKD","TOT","USD","A","1987",36.929156,
"CAN","GDPHRWKD","TOT","USD","A","1988",37.283107,
"CAN","GDPHRWKD","TOT","USD","A","1989",37.37258,
"CAN","GDPHRWKD","TOT","USD","A","1990",37.330711,
"CAN","GDPHRWKD","TOT","USD","A","1991",37.658931,
"CAN","GDPHRWKD","TOT","USD","A","1992",38.429322,
"CAN","GDPHRWKD","TOT","USD","A","1993",39.206858,
"CAN","GDPHRWKD","TOT","USD","A","1994",39.986284,
"CAN","GDPHRWKD","TOT","USD","A","1995",40.474489,
"CAN","GDPHRWKD","TOT","USD","A","1996",40.385484,
"CAN","GDPHRWKD","TOT","USD","A","1997",41.109013,
"CAN","GDPHRWKD","TOT","USD","A","1998",41.876708,
"CAN","GDPHRWKD","TOT","USD","A","1999",42.929805,
"CAN","GDPHRWKD","TOT","USD","A","2000",44.283053,
"CAN","GDPHRWKD","TOT","USD","A","2001",44.992516,
"CAN","GDPHRWKD","TOT","USD","A","2002",45.72201,
"CAN","GDPHRWKD","TOT","USD","A","2003",45.835742,
"CAN","GDPHRWKD","TOT","USD","A","2004",46.22369,
"CAN","GDPHRWKD","TOT","USD","A","2005",47.247781,
"CAN","GDPHRWKD","TOT","USD","A","2006",47.75095,
"CAN","GDPHRWKD","TOT","USD","A","2007",47.74597,
"CAN","GDPHRWKD","TOT","USD","A","2008",47.611824,
"CAN","GDPHRWKD","TOT","USD","A","2009",47.840276,
"CAN","GDPHRWKD","TOT","USD","A","2010",48.33034,
"CAN","GDPHRWKD","TOT","USD","A","2011",49.121278,
"CAN","GDPHRWKD","TOT","USD","A","2012",49.231572,
"CAN","GDPHRWKD","TOT","USD","A","2013",49.885339,
"CAN","GDPHRWKD","TOT","USD","A","2014",51.201219,
"CAN","GDPHRWKD","TOT","USD","A","2015",51.057705,
"CAN","GDPHRWKD","TOT","USD","A","2016",51.218323,
"CAN","GDPHRWKD","TOT","USD","A","2017",52.195271,
"CAN","GDPHRWKD","TOT","USD","A","2018",52.154569,
"CZE","GDPHRWKD","TOT","USD","A","1993",21.519467,
"CZE","GDPHRWKD","TOT","USD","A","1994",22.11585,
"CZE","GDPHRWKD","TOT","USD","A","1995",23.096101,
"CZE","GDPHRWKD","TOT","USD","A","1996",24.016179,
"CZE","GDPHRWKD","TOT","USD","A","1997",23.974917,
"CZE","GDPHRWKD","TOT","USD","A","1998",24.063349,
"CZE","GDPHRWKD","TOT","USD","A","1999",24.733279,
"CZE","GDPHRWKD","TOT","USD","A","2000",25.974963,
"CZE","GDPHRWKD","TOT","USD","A","2001",27.940551,
"CZE","GDPHRWKD","TOT","USD","A","2002",28.252456,
"CZE","GDPHRWKD","TOT","USD","A","2003",29.67359,
"CZE","GDPHRWKD","TOT","USD","A","2004",31.002647,
"CZE","GDPHRWKD","TOT","USD","A","2005",32.400483,
"CZE","GDPHRWKD","TOT","USD","A","2006",34.499066,
"CZE","GDPHRWKD","TOT","USD","A","2007",35.982897,
"CZE","GDPHRWKD","TOT","USD","A","2008",36.055816,
"CZE","GDPHRWKD","TOT","USD","A","2009",35.167184,
"CZE","GDPHRWKD","TOT","USD","A","2010",35.923883,
"CZE","GDPHRWKD","TOT","USD","A","2011",36.538272,
"CZE","GDPHRWKD","TOT","USD","A","2012",36.693922,
"CZE","GDPHRWKD","TOT","USD","A","2013",36.670093,
"CZE","GDPHRWKD","TOT","USD","A","2014",37.169476,
"CZE","GDPHRWKD","TOT","USD","A","2015",39.044096,
"CZE","GDPHRWKD","TOT","USD","A","2016",38.879716,
"CZE","GDPHRWKD","TOT","USD","A","2017",39.820402,
"CZE","GDPHRWKD","TOT","USD","A","2018",40.400568,
"DNK","GDPHRWKD","TOT","USD","A","1970",27.479633,
"DNK","GDPHRWKD","TOT","USD","A","1971",28.874502,
"DNK","GDPHRWKD","TOT","USD","A","1972",30.407978,
"DNK","GDPHRWKD","TOT","USD","A","1973",32.066614,
"DNK","GDPHRWKD","TOT","USD","A","1974",32.272179,
"DNK","GDPHRWKD","TOT","USD","A","1975",33.598446,
"DNK","GDPHRWKD","TOT","USD","A","1976",34.839672,
"DNK","GDPHRWKD","TOT","USD","A","1977",36.131111,
"DNK","GDPHRWKD","TOT","USD","A","1978",37.167255,
"DNK","GDPHRWKD","TOT","USD","A","1979",38.446802,
"DNK","GDPHRWKD","TOT","USD","A","1980",38.150375,
"DNK","GDPHRWKD","TOT","USD","A","1981",39.273363,
"DNK","GDPHRWKD","TOT","USD","A","1982",40.369373,
"DNK","GDPHRWKD","TOT","USD","A","1983",41.572107,
"DNK","GDPHRWKD","TOT","USD","A","1984",42.828785,
"DNK","GDPHRWKD","TOT","USD","A","1985",43.911957,
"DNK","GDPHRWKD","TOT","USD","A","1986",44.863954,
"DNK","GDPHRWKD","TOT","USD","A","1987",45.775119,
"DNK","GDPHRWKD","TOT","USD","A","1988",46.673435,
"DNK","GDPHRWKD","TOT","USD","A","1989",47.650494,
"DNK","GDPHRWKD","TOT","USD","A","1990",49.044876,
"DNK","GDPHRWKD","TOT","USD","A","1991",50.326856,
"DNK","GDPHRWKD","TOT","USD","A","1992",51.193364,
"DNK","GDPHRWKD","TOT","USD","A","1993",52.171337,
"DNK","GDPHRWKD","TOT","USD","A","1994",55.502126,
"DNK","GDPHRWKD","TOT","USD","A","1995",56.328035,
"DNK","GDPHRWKD","TOT","USD","A","1996",57.671004,
"DNK","GDPHRWKD","TOT","USD","A","1997",58.089026,
"DNK","GDPHRWKD","TOT","USD","A","1998",58.022113,
"DNK","GDPHRWKD","TOT","USD","A","1999",58.613092,
"DNK","GDPHRWKD","TOT","USD","A","2000",59.970756,
"DNK","GDPHRWKD","TOT","USD","A","2001",59.759037,
"DNK","GDPHRWKD","TOT","USD","A","2002",60.250359,
"DNK","GDPHRWKD","TOT","USD","A","2003",61.244708,
"DNK","GDPHRWKD","TOT","USD","A","2004",63.200404,
"DNK","GDPHRWKD","TOT","USD","A","2005",64.065531,
"DNK","GDPHRWKD","TOT","USD","A","2006",64.909861,
"DNK","GDPHRWKD","TOT","USD","A","2007",65.029567,
"DNK","GDPHRWKD","TOT","USD","A","2008",64.061457,
"DNK","GDPHRWKD","TOT","USD","A","2009",63.47098,
"DNK","GDPHRWKD","TOT","USD","A","2010",65.954953,
"DNK","GDPHRWKD","TOT","USD","A","2011",66.183327,
"DNK","GDPHRWKD","TOT","USD","A","2012",67.448273,
"DNK","GDPHRWKD","TOT","USD","A","2013",67.978643,
"DNK","GDPHRWKD","TOT","USD","A","2014",69.055505,
"DNK","GDPHRWKD","TOT","USD","A","2015",70.041594,
"DNK","GDPHRWKD","TOT","USD","A","2016",70.875522,
"DNK","GDPHRWKD","TOT","USD","A","2017",71.5302,
"DNK","GDPHRWKD","TOT","USD","A","2018",73.443493,
"FIN","GDPHRWKD","TOT","USD","A","1970",18.232373,
"FIN","GDPHRWKD","TOT","USD","A","1971",19.131995,
"FIN","GDPHRWKD","TOT","USD","A","1972",20.590576,
"FIN","GDPHRWKD","TOT","USD","A","1973",21.800112,
"FIN","GDPHRWKD","TOT","USD","A","1974",22.504398,
"FIN","GDPHRWKD","TOT","USD","A","1975",23.129264,
"FIN","GDPHRWKD","TOT","USD","A","1976",23.461488,
"FIN","GDPHRWKD","TOT","USD","A","1977",24.058973,
"FIN","GDPHRWKD","TOT","USD","A","1978",24.925611,
"FIN","GDPHRWKD","TOT","USD","A","1979",26.465833,
"FIN","GDPHRWKD","TOT","USD","A","1980",27.394922,
"FIN","GDPHRWKD","TOT","USD","A","1981",27.218585,
"FIN","GDPHRWKD","TOT","USD","A","1982",28.102922,
"FIN","GDPHRWKD","TOT","USD","A","1983",29.325308,
"FIN","GDPHRWKD","TOT","USD","A","1984",30.322636,
"FIN","GDPHRWKD","TOT","USD","A","1985",31.238753,
"FIN","GDPHRWKD","TOT","USD","A","1986",32.587715,
"FIN","GDPHRWKD","TOT","USD","A","1987",33.310755,
"FIN","GDPHRWKD","TOT","USD","A","1988",34.76039,
"FIN","GDPHRWKD","TOT","USD","A","1989",36.187892,
"FIN","GDPHRWKD","TOT","USD","A","1990",37.235709,
"FIN","GDPHRWKD","TOT","USD","A","1991",37.532832,
"FIN","GDPHRWKD","TOT","USD","A","1992",38.764724,
"FIN","GDPHRWKD","TOT","USD","A","1993",40.795035,
"FIN","GDPHRWKD","TOT","USD","A","1994",42.622776,
"FIN","GDPHRWKD","TOT","USD","A","1995",43.505766,
"FIN","GDPHRWKD","TOT","USD","A","1996",44.377725,
"FIN","GDPHRWKD","TOT","USD","A","1997",45.909734,
"FIN","GDPHRWKD","TOT","USD","A","1998",47.75125,
"FIN","GDPHRWKD","TOT","USD","A","1999",48.748774,
"FIN","GDPHRWKD","TOT","USD","A","2000",50.945964,
"FIN","GDPHRWKD","TOT","USD","A","2001",52.071374,
"FIN","GDPHRWKD","TOT","USD","A","2002",52.568762,
"FIN","GDPHRWKD","TOT","USD","A","2003",53.758258,
"FIN","GDPHRWKD","TOT","USD","A","2004",55.577023,
"FIN","GDPHRWKD","TOT","USD","A","2005",56.574843,
"FIN","GDPHRWKD","TOT","USD","A","2006",57.90975,
"FIN","GDPHRWKD","TOT","USD","A","2007",59.732963,
"FIN","GDPHRWKD","TOT","USD","A","2008",59.107152,
"FIN","GDPHRWKD","TOT","USD","A","2009",56.557115,
"FIN","GDPHRWKD","TOT","USD","A","2010",58.454055,
"FIN","GDPHRWKD","TOT","USD","A","2011",59.187776,
"FIN","GDPHRWKD","TOT","USD","A","2012",58.308438,
"FIN","GDPHRWKD","TOT","USD","A","2013",58.596431,
"FIN","GDPHRWKD","TOT","USD","A","2014",58.749477,
"FIN","GDPHRWKD","TOT","USD","A","2015",59.085474,
"FIN","GDPHRWKD","TOT","USD","A","2016",60.481656,
"FIN","GDPHRWKD","TOT","USD","A","2017",61.838519,
"FIN","GDPHRWKD","TOT","USD","A","2018",61.295107,
"FRA","GDPHRWKD","TOT","USD","A","1970",23.902249,
"FRA","GDPHRWKD","TOT","USD","A","1971",25.090481,
"FRA","GDPHRWKD","TOT","USD","A","1972",26.77765,
"FRA","GDPHRWKD","TOT","USD","A","1973",28.32377,
"FRA","GDPHRWKD","TOT","USD","A","1974",29.768012,
"FRA","GDPHRWKD","TOT","USD","A","1975",30.125306,
"FRA","GDPHRWKD","TOT","USD","A","1976",30.744591,
"FRA","GDPHRWKD","TOT","USD","A","1977",32.186544,
"FRA","GDPHRWKD","TOT","USD","A","1978",33.84074,
"FRA","GDPHRWKD","TOT","USD","A","1979",34.874136,
"FRA","GDPHRWKD","TOT","USD","A","1980",35.447231,
"FRA","GDPHRWKD","TOT","USD","A","1981",36.275268,
"FRA","GDPHRWKD","TOT","USD","A","1982",38.627832,
"FRA","GDPHRWKD","TOT","USD","A","1983",39.567497,
"FRA","GDPHRWKD","TOT","USD","A","1984",40.532145,
"FRA","GDPHRWKD","TOT","USD","A","1985",42.161176,
"FRA","GDPHRWKD","TOT","USD","A","1986",43.092083,
"FRA","GDPHRWKD","TOT","USD","A","1987",43.517023,
"FRA","GDPHRWKD","TOT","USD","A","1988",44.922376,
"FRA","GDPHRWKD","TOT","USD","A","1989",46.523521,
"FRA","GDPHRWKD","TOT","USD","A","1990",47.639384,
"FRA","GDPHRWKD","TOT","USD","A","1991",48.236282,
"FRA","GDPHRWKD","TOT","USD","A","1992",49.397288,
"FRA","GDPHRWKD","TOT","USD","A","1993",49.856963,
"FRA","GDPHRWKD","TOT","USD","A","1994",50.885711,
"FRA","GDPHRWKD","TOT","USD","A","1995",52.151044,
"FRA","GDPHRWKD","TOT","USD","A","1996",52.719296,
"FRA","GDPHRWKD","TOT","USD","A","1997",53.591609,
"FRA","GDPHRWKD","TOT","USD","A","1998",54.917227,
"FRA","GDPHRWKD","TOT","USD","A","1999",55.708609,
"FRA","GDPHRWKD","TOT","USD","A","2000",57.184135,
"FRA","GDPHRWKD","TOT","USD","A","2001",58.254055,
"FRA","GDPHRWKD","TOT","USD","A","2002",59.95475,
"FRA","GDPHRWKD","TOT","USD","A","2003",60.296947,
"FRA","GDPHRWKD","TOT","USD","A","2004",60.963306,
"FRA","GDPHRWKD","TOT","USD","A","2005",61.504408,
"FRA","GDPHRWKD","TOT","USD","A","2006",63.035653,
"FRA","GDPHRWKD","TOT","USD","A","2007",62.740224,
"FRA","GDPHRWKD","TOT","USD","A","2008",62.339937,
"FRA","GDPHRWKD","TOT","USD","A","2009",61.702322,
"FRA","GDPHRWKD","TOT","USD","A","2010",62.50105,
"FRA","GDPHRWKD","TOT","USD","A","2011",63.126874,
"FRA","GDPHRWKD","TOT","USD","A","2012",63.333125,
"FRA","GDPHRWKD","TOT","USD","A","2013",64.190819,
"FRA","GDPHRWKD","TOT","USD","A","2014",64.808463,
"FRA","GDPHRWKD","TOT","USD","A","2015",65.334256,
"FRA","GDPHRWKD","TOT","USD","A","2016",65.516817,
"FRA","GDPHRWKD","TOT","USD","A","2017",67.071855,
"FRA","GDPHRWKD","TOT","USD","A","2018",68.016415,
"DEU","GDPHRWKD","TOT","USD","A","1970",24.971234,
"DEU","GDPHRWKD","TOT","USD","A","1971",26.061046,
"DEU","GDPHRWKD","TOT","USD","A","1972",27.359682,
"DEU","GDPHRWKD","TOT","USD","A","1973",28.755296,
"DEU","GDPHRWKD","TOT","USD","A","1974",29.916195,
"DEU","GDPHRWKD","TOT","USD","A","1975",31.041789,
"DEU","GDPHRWKD","TOT","USD","A","1976",32.489045,
"DEU","GDPHRWKD","TOT","USD","A","1977",33.826978,
"DEU","GDPHRWKD","TOT","USD","A","1978",34.871263,
"DEU","GDPHRWKD","TOT","USD","A","1979",35.869738,
"DEU","GDPHRWKD","TOT","USD","A","1980",36.171721,
"DEU","GDPHRWKD","TOT","USD","A","1981",36.773072,
"DEU","GDPHRWKD","TOT","USD","A","1982",37.153544,
"DEU","GDPHRWKD","TOT","USD","A","1983",38.372564,
"DEU","GDPHRWKD","TOT","USD","A","1984",39.386056,
"DEU","GDPHRWKD","TOT","USD","A","1985",40.294855,
"DEU","GDPHRWKD","TOT","USD","A","1986",40.905415,
"DEU","GDPHRWKD","TOT","USD","A","1987",41.464972,
"DEU","GDPHRWKD","TOT","USD","A","1988",42.534578,
"DEU","GDPHRWKD","TOT","USD","A","1989",44.014812,
"DEU","GDPHRWKD","TOT","USD","A","1990",45.570102,
"DEU","GDPHRWKD","TOT","USD","A","1991",47.154443,
"DEU","GDPHRWKD","TOT","USD","A","1992",48.360625,
"DEU","GDPHRWKD","TOT","USD","A","1993",49.300234,
"DEU","GDPHRWKD","TOT","USD","A","1994",50.57962,
"DEU","GDPHRWKD","TOT","USD","A","1995",51.33651,
"DEU","GDPHRWKD","TOT","USD","A","1996",52.20898,
"DEU","GDPHRWKD","TOT","USD","A","1997",53.483953,
"DEU","GDPHRWKD","TOT","USD","A","1998",54.030598,
"DEU","GDPHRWKD","TOT","USD","A","1999",54.647119,
"DEU","GDPHRWKD","TOT","USD","A","2000",55.992227,
"DEU","GDPHRWKD","TOT","USD","A","2001",57.407217,
"DEU","GDPHRWKD","TOT","USD","A","2002",57.939261,
"DEU","GDPHRWKD","TOT","USD","A","2003",58.377026,
"DEU","GDPHRWKD","TOT","USD","A","2004",58.917698,
"DEU","GDPHRWKD","TOT","USD","A","2005",59.841475,
"DEU","GDPHRWKD","TOT","USD","A","2006",60.797244,
"DEU","GDPHRWKD","TOT","USD","A","2007",61.520893,
"DEU","GDPHRWKD","TOT","USD","A","2008",61.53806,
"DEU","GDPHRWKD","TOT","USD","A","2009",59.683108,
"DEU","GDPHRWKD","TOT","USD","A","2010",61.058515,
"DEU","GDPHRWKD","TOT","USD","A","2011",62.646351,
"DEU","GDPHRWKD","TOT","USD","A","2012",63.033595,
"DEU","GDPHRWKD","TOT","USD","A","2013",63.327081,
"DEU","GDPHRWKD","TOT","USD","A","2014",63.993168,
"DEU","GDPHRWKD","TOT","USD","A","2015",64.483502,
"DEU","GDPHRWKD","TOT","USD","A","2016",65.398555,
"DEU","GDPHRWKD","TOT","USD","A","2017",66.274843,
"DEU","GDPHRWKD","TOT","USD","A","2018",66.44531,
"GRC","GDPHRWKD","TOT","USD","A","1983",26.631547,
"GRC","GDPHRWKD","TOT","USD","A","1984",28.173004,
"GRC","GDPHRWKD","TOT","USD","A","1985",27.922312,
"GRC","GDPHRWKD","TOT","USD","A","1986",28.136568,
"GRC","GDPHRWKD","TOT","USD","A","1987",28.095274,
"GRC","GDPHRWKD","TOT","USD","A","1988",28.994492,
"GRC","GDPHRWKD","TOT","USD","A","1989",29.360894,
"GRC","GDPHRWKD","TOT","USD","A","1990",29.300906,
"GRC","GDPHRWKD","TOT","USD","A","1991",30.309599,
"GRC","GDPHRWKD","TOT","USD","A","1992",29.692164,
"GRC","GDPHRWKD","TOT","USD","A","1993",28.696645,
"GRC","GDPHRWKD","TOT","USD","A","1994",29.198756,
"GRC","GDPHRWKD","TOT","USD","A","1995",29.809378,
"GRC","GDPHRWKD","TOT","USD","A","1996",30.853552,
"GRC","GDPHRWKD","TOT","USD","A","1997",32.396328,
"GRC","GDPHRWKD","TOT","USD","A","1998",32.225675,
"GRC","GDPHRWKD","TOT","USD","A","1999",33.254298,
"GRC","GDPHRWKD","TOT","USD","A","2000",34.410709,
"GRC","GDPHRWKD","TOT","USD","A","2001",35.809901,
"GRC","GDPHRWKD","TOT","USD","A","2002",36.471004,
"GRC","GDPHRWKD","TOT","USD","A","2003",38.07644,
"GRC","GDPHRWKD","TOT","USD","A","2004",39.238052,
